No,デフォ,種別,楽曲名,ﾕﾆｯﾄ,E,N,H,X,M,A,コンボ(EXP),コンボ(MAS),コンボ(APD),時間,BPM,MV,人数,配信日
104,13010,既,トラフィック・ジャム,3_VBS,6,13,18,24,28,-,0896,1089,-,2:10,130,原曲/2D,-,2021/06/30
105,21005,書,フロムトーキョー,1_L/n,6,12,18,24,28,-,0640,0814,-,1:40,130,3D,5,2021/07/07
106,23005,書,Beat Eater,3_VBS,6,11,17,25,29,28,0772,0798,0852,1:40,137,2D,-,2021/07/09
107,11011,既,六兆年と一夜物語,1_L/n,9,14,20,29,35,-,1099,1288,-,2:04,186*,2D,-,2021/07/12
108,12011,既,地球最後の告白を,2_MMJ,8,13,18,25,31,32,0884,1164,1643,2:08,190*,2D,-,2021/07/19
109,15010,既,ビターチョコデコレーション,5_25,7,12,19,25,32,-,1059,1377,-,2:09,174,2D/3D,5,2021/07/28
110,10030,公,そうだった！！,0_VS,8,14,19,27,31,-,1175,1297,-,2:07,192,-,-,2021/08/06
111,11012,既,カゲロウデイズ,1_L/n,9,14,19,27,31,33,1295,1404,1915,2:23,200,-,-,2021/08/15
112,22006,書,アイスドロップ,2_MMJ,7,12,18,24,27,-,0704,0802,-,1:46,158,3D,5,2021/08/18
113,24006,書,Glory Steady Go!,4_WxS,7,12,18,25,30,-,0738,0875,-,1:39,131,2D,-,2021/08/20
114,13011,既,チルドレンレコード,3_VBS,9,14,19,27,32,-,1234,1502,-,2:08,210,3D,5,2021/08/23
115,20001,書,magic number,0_VS,6,11,18,25,30,-,0818,0988,-,1:51,120,2D,-,2021/09/01
116,21006,書,流星のパルス,1_L/n,8,13,17,25,31,-,0958,1123,-,2:02,192,2D,-,2021/09/10
117,15011,既,カトラリー,5_25,5,12,18,25,29,-,0686,0806,-,1:51,108,原曲/2D,-,2021/09/21
118,25007,書,再生,5_25,5,11,15,22,26,-,0458,0547,-,1:43,076,3D,5,2021/09/29
119,29003,書,群青讃歌,9_oth,7,13,17,24,27,-,0711,0833,-,1:39,168,2D/3D,6,2021/09/30
120,10031,既,炉心融解,0_VS,7,12,17,24,27,-,0998,1167,-,2:04,165,-,-,2021/10/01
121,11013,既,ロストワンの号哭,1_L/n,7,14,19,26,33,-,0947,1157,-,1:48,162,2D/3D,5,2021/10/02
122,20002,書,マシンガンポエムドール,0_VS,9,14,23,31,35,-,1730,1819,-,2:21,220,原曲*7,-,2021/10/03
123,15012,既,ベノム,5_25,7,13,18,26,29,-,0972,1138,-,2:09,152,-,-,2021/10/04
124,10032,既,拝啓ドッペルゲンガー,0_VS,9,13,19,28,32,-,1368,1654,-,2:35,181,-,-,2021/10/05
125,14011,既,テレキャスタービーボーイ,4_WxS,8,13,18,25,29,31,0726,0898,1159,1:38,182,原曲/2D,-,2021/10/06
126,10033,既,トキヲ・ファンカ,0_VS,6,11,18,25,28,29,0780,0859,0997,1:48,120,原曲,-,2021/10/07
127,13012,既,悪魔の踊り方,3_VBS,5,12,19,26,31,-,0792,0938,-,1:58,106,2D/3D,5,2021/10/08
128,10034,既,だれかの心臓になれたなら,0_VS,7,12,18,25,29,-,0811,1044,-,1:57,145,原曲,-,2021/10/09
129,12012,既,マシュマリー,2_MMJ,8,11,18,26,29,-,1123,1303,-,2:13,182,2D,-,2021/10/10
130,10035,既,右肩の蝶,0_VS,6,12,18,25,31,-,1058,1315,-,2:13,140,-,-,2021/10/11
131,11014,既,ray,1_L/n,6,12,16,24,26,-,0978,1092,-,2:11,132,2D/3D,5,2021/10/12
132,11015,既,"Hello,world!",1_L/n,9,13,17,25,29,-,0900,0949,-,1:41,211,2D,-,2021/10/13
133,10036,公,しっくおぶはうす！,0_VS,7,13,17,26,30,-,1107,1313,-,2:22,170,-,-,2021/10/22
134,24007,書,ショウタイム・ルーラー,4_WxS,9,13,19,25,31,-,0819,1063,-,1:49,204,2D/3D,5,2021/10/29
135,12013,既,Happy Halloween,2_MMJ,5,12,16,25,31,26,0827,0987,0832,2:04,120,原曲,-,2021/10/30
136,25008,書,ロウワー,5_25,6,12,17,26,31,30,0780,0850,1045,1:48,132,2D,-,2021/10/31
137,10037,既,初音天地開闢神話,0_VS,9,14,20,28,33,-,1581,2021,-,3:02,240,原曲,-,2021/11/05
138,13013,既,オルターエゴ,3_VBS,8,12,17,26,31,-,1175,1557,-,2:32,176,2D,-,2021/11/10
139,21007,書,STAGE OF SEKAI,1_L/n,8,12,17,25,30,-,1005,1156,-,2:02,190,2D/3D,5,2021/11/18
140,12014,既,からくりピエロ,2_MMJ,5,11,16,23,27,-,0714,1005,-,2:18,102,2D/3D,5,2021/11/29
141,22007,書,ワールドワイドワンダー,2_MMJ,6,13,18,24,28,-,0626,0785,-,1:37,142,2D,-,2021/12/10
142,10038,既,悪ノ娘,0_VS,6,12,17,24,27,-,0609,0784,-,1:32,140,-,-,2021/12/13
143,10039,既,悪ノ召使,0_VS,6,12,17,24,27,-,0609,0784,-,1:34,120,-,-,2021/12/14
144,20003,書,去り人達のワルツ,0_VS,8,13,17,23,28,-,0672,0798,-,1:40,178,-,-,2021/12/15
145,10040,公,ラストスコア,0_VS,7,13,18,26,30,-,1050,1190,-,2:23,134,-,-,2021/12/20
146,14012,既,フィクサー,4_WxS,6,12,19,26,32,-,0948,1118,-,2:03,135,2D,-,2021/12/28
147,23006,書,ミライ,3_VBS,6,12,18,24,28,-,1017,1281,-,2:39,138,2D/3D,5,2021/12/29
148,11016,既,ゴーストルール,1_L/n,9,14,19,27,33,-,1174,1473,-,2:22,210,-,-,2021/12/30
149,15013,既,ヴィラン,5_25,6,13,18,25,29,-,0984,1154,-,2:30,102,2D/3D,2,2021/12/31
150,10041,既,サンドリヨン 10th Anniversary,0_VS,6,12,17,25,29,-,0735,0913,-,1:58,147,-,-,2022/01/01
151,12015,既,少女レイ,2_MMJ,7,14,17,24,27,27,1168,1400,1300,2:40,150,2D/3D,3,2022/01/02
152,13014,既,ガランド,3_VBS,7,13,18,24,28,-,0761,0943,-,2:11,093,-,-,2022/01/03
153,39001,既,エンドマークに希望と涙を添えて,9_oth,9,15,23,31,35,-,1553,1948,-,2:22,257,原曲,-,2022/01/08
154,39002,既,the EmpErroR,9_oth,9,15,23,31,36,-,1223,1593,-,2:07,240,原曲,-,2022/01/09
155,39003,既,Don't Fight The Music,9_oth,9,15,23,30,35,-,1545,1888,-,2:40,200*,-,-,2022/01/10
156,24008,書,にっこり^^調査隊のテーマ,4_WxS,8,12,18,27,31,-,1026,1195,-,2:06,180,2D/3D,5,2022/01/19
157,25009,書,トリコロージュ,5_25,7,13,18,24,28,-,0860,0999,-,2:05,130,2D,-,2022/01/21
158,11017,既,心拍数♯0822,1_L/n,5,11,16,23,27,-,0675,0843,-,2:03,114,2D,-,2022/01/24
159,15014,既,うっせぇわ,5_25,8,12,17,24,28,-,1035,1302,-,2:16,178,原曲,-,2022/01/31
160,13015,既,踊,3_VBS,6,13,18,26,29,-,0882,1083,-,2:21,128,原曲,-,2022/02/04
